"papel","cotacao","pl","pvp","psr","div_yield","p_ativo","p_cap_giro","p_ebit","p_ativ_circ_liq","ev_ebit","mrg_ebit","mrg_liq","liq_corr","roic","roe","liq_2meses","patrim_liq","div_brut_patrim","cresc_rec_5a","setor","subsetor","empresa","tipo"
"CLAN3","0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-1,05%","0,00","1.012.240.000,00","0,00","-63,96%","Alimentos","Grãos e Derivados","CLARION ON","ON"
"CLSC6","0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","6,90%","0,00","2.078.060.000,00","0,00","8,32%","Energia Elétrica","Energia Elétrica","CELESC PNB N2","PNB N2"
"CSTB3","150,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","40,85%","28,98%","2,60","22,40%","20,11%","0,00","8.420.670.000,00","0,14","31,91%","","","COMPANHIA SIDERÚRGICA DE TUBARÃO ON","ON"
"VNET3","0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","28,03%","0,00","14.329.100.000,00","0,00","20,16%","Serviços Financeiros Diversos","Serviços Financeiros Diversos","CIELO ON NM","ON NM"
"POPR4","10,17","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","8,66%","5,65%","1,08","15,25%","19,93%","0,00","545.803.000,00","0,82","30,93%","","","POLIPROPILENO S.A. PN","PN"
"MNSA4","0,47","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","-208,15%","-362,66%","3,63","-13,50%","145,70%","0,00","-9.105.000,00","-6,52","-41,11%","","","MANASA PN","PN"
"IVTT3","0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-0,40%","0,00","1.083.050.000,00","0,00","20,67%","Exploração de Imóveis","Exploração de Imóveis","BHG ON NM","ON NM"
"CSTB4","147,69","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","40,85%","28,98%","2,60","22,40%","20,11%","0,00","8.420.670.000,00","0,14","31,91%","","","COMPANHIA SIDERÚRGICA DE TUBARÃO PN","PN"
"PMET3","0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","4,10%","0,00","-290.863.000,00","0,00","37,74%","Viagens e Lazer","Bicicletas","PRO METALURG ON","ON"
"CFLU4","1.000,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","8,88%","10,72%","1,10","17,68%","32,15%","0,00","60.351.000,00","0,06","8,14%","","","COCA COLA PN","PN"
"DAGB33","508,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","5,48%","1,35%","1,15","4,82%","1,86%","2.949.210,00","10.133.100.000,00","1,39","45,24%","Comércio","Produtos Diversos","DUFRY AG DR3","DR3"
"PORP4","2,40","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-2,08%","0,00","22.399.000,00","0,00","13,66%","","","POLIPROPILENO PARTICIPAÇÕES S.A. PN","PN"
"MNSA3","0,42","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","-208,15%","-362,66%","3,63","-13,50%","145,70%","0,00","-9.105.000,00","-6,52","-41,11%","","","MANASA ON","ON"
"OFSA3","25,90","-13.435,40","3,65","3,197","0,00%","1,795","6,81","104,64","-68,69","119,88","3,06%","-0,07%","2,20","2,09%","-0,03%","313.040,00","382.917.000,00","0,82","-2,40%","Saúde","Medicamentos e Outros Produtos","OUROFINO S/A ON NM","ON NM"
"ROMI4","185,00","-1.046,78","18,70","18,837","0,00%","10,669","34,51","-766,31","70,68","-776,65","-2,46%","-1,75%","2,15","-1,65%","-1,79%","0,00","621.955.000,00","0,47","-1,47%","Máquinas e Equipamentos","Máqs. e Equips. Industriais","ROMI PN","PN"
